회사이름,공고이름,url,경력,지역,직무,사이트
비바리퍼블리카,data scientist (검색),https://www.jobkorea.co.kr/Recruit/GI_Read/45763368?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&listno=42,경력무관,서울,데이터 사이언티스트,jobkorea
비바리퍼블리카,data scientist (ads),https://www.jobkorea.co.kr/Recruit/GI_Read/45763361?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&listno=43,경력무관,서울,데이터 사이언티스트,jobkorea
비바리퍼블리카,data scientist (추천),https://www.jobkorea.co.kr/Recruit/GI_Read/45763366?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&listno=44,경력무관,서울,데이터 사이언티스트,jobkorea
비바리퍼블리카,data scientist(product),https://www.jobkorea.co.kr/Recruit/GI_Read/45763355?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&listno=57,경력무관,서울,데이터 사이언티스트,jobkorea
에스케이쉴더스,[사이버보안ai랩스]data scientist,https://www.jobkorea.co.kr/Recruit/GI_Read/46001891?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&listno=59,경력7년↑,경기,데이터 사이언티스트,jobkorea
인사이터,(경력 2~5년) 데이터 사이언티스트를 모십니다.,https://jumpit.saramin.co.kr/position/38922,경력 2~5년,서울,데이터 사이언티스트,jumpit
주식회사애드타입,데이터 사이언티스트 경력직 채용(9년~),https://jumpit.saramin.co.kr/position/39765,경력 9~20년,서울,데이터 사이언티스트,jumpit
주식회사애드타입,데이터 사이언티스트 경력직 채용(6~8년),https://jumpit.saramin.co.kr/position/39756,경력 6~8년,서울,데이터 사이언티스트,jumpit
주식회사애드타입,데이터 사이언티스트 경력직 채용(3~5년),https://jumpit.saramin.co.kr/position/39746,경력 3~5년,서울,데이터 사이언티스트,jumpit
더블미디어,데이터 사이언티스트 모집,https://jumpit.saramin.co.kr/position/39823,경력 2~10년,서울,데이터 사이언티스트,jumpit
엑셈,데이터 사이언티스트(5년 이상),https://jumpit.saramin.co.kr/position/39728,경력 5~15년,서울,데이터 사이언티스트,jumpit
진스토리코리아,데이터 사이언티스트,https://jumpit.saramin.co.kr/position/23549,신입~3년,서울,데이터 사이언티스트,jumpit
브이피피랩,데이터 사이언티스트,https://jumpit.saramin.co.kr/position/37633,경력 5~15년,제주,데이터 사이언티스트,jumpit
알티엠,데이터 사이언티스트 (시계열),https://jumpit.saramin.co.kr/position/38037,경력 3~10년,서울,데이터 사이언티스트,jumpit
주식회사빅밸류,[빅밸류] data scientist(공통) 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49417709&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=a867ffbe-cfd6-43d5-b44b-cd51daaf6050,경력무관,서울,데이터 사이언티스트,saramin
한화시스템,data scientist 경력사원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49483518&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=a867ffbe-cfd6-43d5-b44b-cd51daaf6050,경력,서울,데이터 사이언티스트,saramin
엑셈,[코스닥상장사]데이터 사이언티스트(5년 이상),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49267752&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=a867ffbe-cfd6-43d5-b44b-cd51daaf6050,경력 5~15년,서울,데이터 사이언티스트,saramin
에스케이쉴더스,[사이버보안ai랩스] data scientist 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49474128&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=a867ffbe-cfd6-43d5-b44b-cd51daaf6050,경력7년↑,경기,데이터 사이언티스트,saramin
델타엑스,딥러닝/3d 비전/data scientist 병역특례(전문연구요원),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49503732&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=a867ffbe-cfd6-43d5-b44b-cd51daaf6050,경력무관,서울,데이터 사이언티스트,saramin
주식회사고픽커뮤니케이션,[고픽커뮤니케이션] 스포츠 데이터 사이언티스트,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49481640&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=a867ffbe-cfd6-43d5-b44b-cd51daaf6050,경력 5~10년,서울,데이터 사이언티스트,saramin
인사이터,(경력) 데이터 사이언티스트를 모십니다,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49508214&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=a867ffbe-cfd6-43d5-b44b-cd51daaf6050,경력 2~5년,서울,데이터 사이언티스트,saramin
클로잇,[클로잇] data scientist pm급 채용 (경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49527357&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=a867ffbe-cfd6-43d5-b44b-cd51daaf6050,경력10년↑,서울,데이터 사이언티스트,saramin
데이블,senior data scientist (3년 이상),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49428086&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=a867ffbe-cfd6-43d5-b44b-cd51daaf6050,경력 3~7년,서울,데이터 사이언티스트,saramin
엔터웨이파트너스,스포츠 데이터 사이언티스트 (5년 이상)-스포츠 라이브 서비스,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49483667&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=a867ffbe-cfd6-43d5-b44b-cd51daaf6050,경력5년↑,서울,데이터 사이언티스트,saramin
베스트네트워크,17. 데이터사이언티스트 [외국계 금융사],https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49504522&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=a867ffbe-cfd6-43d5-b44b-cd51daaf6050,경력4년↑,서울,데이터 사이언티스트,saramin
딥인사이트,data scientist,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49568088&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=a867ffbe-cfd6-43d5-b44b-cd51daaf6050,신입·경력,경기,데이터 사이언티스트,saramin
피플온,[국내 대형 금융사] 데이터 사이언티스트 경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49540339&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=a867ffbe-cfd6-43d5-b44b-cd51daaf6050,경력 8~14년,서울,데이터 사이언티스트,saramin
워크맨그룹주식회사,ai / 데이터사이언티스트 [국내 대기업],https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49497406&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=a867ffbe-cfd6-43d5-b44b-cd51daaf6050,경력7년↑,경기,데이터 사이언티스트,saramin
헌터스그룹,[대기업계열 엔터테인먼트기업] 데이터사이언티스트(3년 이상),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49504866&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=a867ffbe-cfd6-43d5-b44b-cd51daaf6050,경력3년↑,경기,데이터 사이언티스트,saramin
베로스컨설팅그룹,데이터사이언티스트 / ai / 국내 대기업,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49480785&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=a867ffbe-cfd6-43d5-b44b-cd51daaf6050,경력7년↑,서울,데이터 사이언티스트,saramin
