회사이름,공고이름,url,경력,지역,직무,사이트
아이스크림아트,ai연구소 ai기반 연구팀원 (경력),https://www.jobkorea.co.kr/Recruit/GI_Read/46036173?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=31,경력5년↑,서울,AI 개발자,jobkorea
코아텍,"인공지능 실무업무 경력자(it개발, ai, 전기전자)",https://www.jobkorea.co.kr/Recruit/GI_Read/46032532?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=32,경력5년↑,경기,AI 개발자,jobkorea
아이스크림아트,(주)아이스크림아트 ai연구소 ai기반연구팀장/팀원(경력) 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46078640?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=33,경력5년↑,서울,AI 개발자,jobkorea
트루엔,on-device ai 개발자 적극채용 (truen),https://www.jobkorea.co.kr/Recruit/GI_Read/45933525?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=36,경력7년↑,서울,AI 개발자,jobkorea
섬재,ai researcher,https://www.jobkorea.co.kr/Recruit/GI_Read/45927329?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=37,경력3년↑,서울,AI 개발자,jobkorea
비아이매트릭스,[코스닥기업] 생성형 ai 엔지니어 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46065574?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=38,경력5년↑,서울,AI 개발자,jobkorea
에스디바이오센서,[12월/경력/청담] ai(알고리즘) 개발 팀장 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46077509?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=40,경력,서울,AI 개발자,jobkorea
엔에이치엔,[nhn] 음성 ai 연구/개발,https://www.jobkorea.co.kr/Recruit/GI_Read/45799959?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=41,경력무관,경기,AI 개발자,jobkorea
펄어비스,[펄어비스] [신입/경력] ai 엔지니어 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/46012629?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=43,경력무관,경기,AI 개발자,jobkorea
뉴엔에이아이,[신입/경력] 인공지능 딥러닝 개발자 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45976037?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=44,신입·경력1년↑,경기,AI 개발자,jobkorea
알서포트,[코스닥상장사] ai 기반 제품/서비스 개발자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45991651?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=45,경력3년↑,서울,AI 개발자,jobkorea
가온그룹,[가온그룹] ai 백엔드 개발 담당 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45966069?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=47,경력무관,경기,AI 개발자,jobkorea
알라딘커뮤니케이션,ai 엔지니어 개발자,https://www.jobkorea.co.kr/Recruit/GI_Read/45962660?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=48,경력5년↑,서울,AI 개발자,jobkorea
제타모빌리티,ai 소프트웨어 엔지니어 신입 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46060271?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=49,신입,대전,AI 개발자,jobkorea
두원전자통신,[(주)두원전자통신] 인공지능 ai 서비스 개발 및 유지보수 경력직(팀장급),https://www.jobkorea.co.kr/Recruit/GI_Read/46073728?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=50,경력6년↑,서울,AI 개발자,jobkorea
제타모빌리티,ai 소프트웨어 엔지니어 경력직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46060216?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=52,경력,대전,AI 개발자,jobkorea
인피닉,[인공지능 연구소] 인공지능 및 지식그래프 연구/개발 신입 및 경력 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45987107?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=53,경력무관,서울,AI 개발자,jobkorea
오프리메드,(주)오프리메드 ai 개발자 공개채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45987975?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=54,경력5년↑,경기,AI 개발자,jobkorea
씨어스테크놀로지,[경력] ai 연구/개발 담당자,https://www.jobkorea.co.kr/Recruit/GI_Read/46052361?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=55,경력5년↑,경기,AI 개발자,jobkorea
에너자이,에너자이 ai 컴파일러 엔지니어 채용 공고 (전문연구요원 가능),https://www.jobkorea.co.kr/Recruit/GI_Read/46036062?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=56,경력무관,서울,AI 개발자,jobkorea
로민,멀티모달 ai 엔지니어 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46033415?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=59,경력2년↑,서울,AI 개발자,jobkorea
딥브레인AI,[딥브레인ai] 딥러닝 연구원 / 엔지니어 모집 (전문연구요원 가능),https://www.jobkorea.co.kr/Recruit/GI_Read/45811973?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=61,신입·경력,서울,AI 개발자,jobkorea
스카이블루,ai개발 및 플랫폼 고도화 구성원 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45954077?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=62,경력5년↑,경기,AI 개발자,jobkorea
투디지트,ai engineer 채용 공고,https://www.jobkorea.co.kr/Recruit/GI_Read/45908333?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=64,경력2년↑,경기,AI 개발자,jobkorea
엔티엘헬스케어,[병역특례 우대] (주)엔티엘헬스케어 ai 개발자 연구원,https://www.jobkorea.co.kr/Recruit/GI_Read/46016360?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=65,신입·경력3년↑,경기,AI 개발자,jobkorea
디비엔텍,[병역특례 우대] ai(deep learning)기반 object detection 개발자 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/46032857?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=66,경력무관,인천,AI 개발자,jobkorea
가온그룹,[가온그룹] ai 비전 개발 담당 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45966004?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=67,경력무관,경기,AI 개발자,jobkorea
원익로보틱스,각 분야별 경력직 채용 - 선행기술팀 ai개발,https://www.jobkorea.co.kr/Recruit/GI_Read/45798610?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=69,경력,경기,AI 개발자,jobkorea
