회사이름: 펨트론, 공고이름: [펨트론] 3d&ai팀 ct알고리즘 개발자, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45998579?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=25, 경력: 신입·경력, 지역: 서울, 직무: AI 개발자, 사이트: jobkorea
회사이름: 휴라이트, 공고이름: ai/ml 인공지능 엔지니어, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45941699?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=26, 경력: 경력3년↑, 지역: 경기, 직무: AI 개발자, 사이트: jobkorea
회사이름: 미니게이트, 공고이름: [경력 3년 이상] ml(ai) engineer 모집합니다., url: https://www.jobkorea.co.kr/Recruit/GI_Read/45994118?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=28, 경력: 경력3년↑, 지역: 서울, 직무: AI 개발자, 사이트: jobkorea
회사이름: 엑스큐어넷, 공고이름: 생성형 ai 모델 연구 및 응용 개발(ai/ml), url: https://www.jobkorea.co.kr/Recruit/GI_Read/45895377?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=30, 경력: 경력3년↑, 지역: 서울, 직무: AI 개발자, 사이트: jobkorea
회사이름: 아이스크림아트, 공고이름: ai연구소 ai기반 연구팀원 (경력), url: https://www.jobkorea.co.kr/Recruit/GI_Read/46036173?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=31, 경력: 경력5년↑, 지역: 서울, 직무: AI 개발자, 사이트: jobkorea
회사이름: 코아텍, 공고이름: 인공지능 실무업무 경력자(it개발, ai, 전기전자), url: https://www.jobkorea.co.kr/Recruit/GI_Read/46032532?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=32, 경력: 경력5년↑, 지역: 경기, 직무: AI 개발자, 사이트: jobkorea
회사이름: 아이스크림아트, 공고이름: (주)아이스크림아트 ai연구소 ai기반연구팀장/팀원(경력) 채용, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46078640?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=33, 경력: 경력5년↑, 지역: 서울, 직무: AI 개발자, 사이트: jobkorea
회사이름: 트루엔, 공고이름: on-device ai 개발자 적극채용 (truen), url: https://www.jobkorea.co.kr/Recruit/GI_Read/45933525?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=36, 경력: 경력7년↑, 지역: 서울, 직무: AI 개발자, 사이트: jobkorea
회사이름: 섬재, 공고이름: ai researcher, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45927329?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=37, 경력: 경력3년↑, 지역: 서울, 직무: AI 개발자, 사이트: jobkorea
회사이름: 비아이매트릭스, 공고이름: [코스닥기업] 생성형 ai 엔지니어 채용, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46065574?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=38, 경력: 경력5년↑, 지역: 서울, 직무: AI 개발자, 사이트: jobkorea
