회사이름,공고이름,url,경력,지역,직무,사이트
위즈베이스,oracle db 엔지니어,https://www.jobkorea.co.kr/Recruit/GI_Read/45745188?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=25,경력6년↑,서울,데이터 엔지니어,jobkorea
에이플랫폼,[신입/경력] database engineer - r&d center,https://www.jobkorea.co.kr/Recruit/GI_Read/46030703?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=26,신입·경력3년↑,서울,데이터 엔지니어,jobkorea
에즈웰플러스,[경력] dba / oracle db 엔지니어 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45916157?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=27,경력3년↑,서울,데이터 엔지니어,jobkorea
에이플랫폼,[신입/경력] database engineer - customer support service,https://www.jobkorea.co.kr/Recruit/GI_Read/46030714?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=28,신입·경력3년↑,서울,데이터 엔지니어,jobkorea
에이플랫폼,[신입/경력] database engineer - technical solution center,https://www.jobkorea.co.kr/Recruit/GI_Read/46030694?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=29,신입·경력3년↑,서울,데이터 엔지니어,jobkorea
이비아이앤씨,오라클db 엔지니어 신입/경력 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/46072358?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=30,신입·경력,서울,데이터 엔지니어,jobkorea
싸이웰시스템,[싸이웰시스템] db 엔지니어 (신입/경력) 정규직 채용 (3200 이상),https://www.jobkorea.co.kr/Recruit/GI_Read/45978880?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=31,신입·경력,서울,데이터 엔지니어,jobkorea
라온피플,infrastructure팀 데이터엔지니어 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/46020510?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=33,경력5년↑,경기,데이터 엔지니어,jobkorea
마이데이터,airflow 경험 데이터엔지니어 구인합니다.,https://www.jobkorea.co.kr/Recruit/GI_Read/45906290?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=34,경력3년↑,서울,데이터 엔지니어,jobkorea
콘센트릭스서비스코리아,데이터엔지니어,https://www.jobkorea.co.kr/Recruit/GI_Read/45966661?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=36,경력1년↑,서울,데이터 엔지니어,jobkorea
오픈메이트,"[오픈메이트] 데이터엔지니어, 데이터모델러, dw, etl 직무 인재 모집(정규)",https://www.jobkorea.co.kr/Recruit/GI_Read/45985674?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=39,경력2년↑,서울,데이터 엔지니어,jobkorea
두들린,[그리팅] data engineer - 3년 이상,https://www.jobkorea.co.kr/Recruit/GI_Read/45861939?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=52,경력3년↑,서울,데이터 엔지니어,jobkorea
데이터마케팅코리아,(주)데이터마케팅코리아 데이터 엔지니어링 직무 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45902675?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=57,경력3년↑,서울,데이터 엔지니어,jobkorea
유클릭,(주)유클릭 oracle db 경력 엔지니어 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45752115?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=58,경력5년↑,경기,데이터 엔지니어,jobkorea
솔로몬엠,시스템 엔지니어 db 운영 업무 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/46068396?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=61,경력3년↑,서울,데이터 엔지니어,jobkorea
