company,title,url,loc,exp,job_name
미니레코드,ai 개발자 경력 채용,https://jumpit.saramin.co.kr/position/39113,서울,경력 1~15년,AI 개발자
미니레코드,ai 개발자 신입 채용,https://jumpit.saramin.co.kr/position/39101,서울,신입,AI 개발자
에브리치,ai 개발자 채용,https://jumpit.saramin.co.kr/position/37852,서울,경력 3~10년,AI 개발자
딥인사이트,ai 개발자,https://jumpit.saramin.co.kr/position/37595,경기,경력 2~7년,AI 개발자
네비웍스,ai 개발자(3년 이상),https://jumpit.saramin.co.kr/position/37227,경기,경력 3~10년,AI 개발자
옵트에이아이,임베디드 ai 개발자 (c++),https://jumpit.saramin.co.kr/position/38030,서울,신입~12년,AI 개발자
옵트에이아이,임베디드 ai 개발자 (c++) (병역특례),https://jumpit.saramin.co.kr/position/38031,서울,신입~12년,AI 개발자
토페스,기술연구소 ai 개발자 신규 채용,https://jumpit.saramin.co.kr/position/39423,경기,경력 3~6년,AI 개발자
에이알247,자율주행 로봇 ai 개발자,https://jumpit.saramin.co.kr/position/37319,경기,경력 2~10년,AI 개발자
이노룰스,[솔루션 제품 개발] llm / 생성형 ai 개발자,https://jumpit.saramin.co.kr/position/37745,서울,경력 3~10년,AI 개발자
이노룰스,[ai플랫폼팀] 웹 풀스택 개발자(pl 급) 채용,https://jumpit.saramin.co.kr/position/39311,서울,경력 10~15년,AI 개발자
씨메스,generative ai 및 인공지능 유지 관리 연구,https://jumpit.saramin.co.kr/position/38545,서울,신입~10년,AI 개발자
씨메스,ai platform 개발자,https://jumpit.saramin.co.kr/position/38638,서울,경력 2~10년,AI 개발자
씨메스,ai 로보틱스 어플리케이션 소프트웨어 개발자,https://jumpit.saramin.co.kr/position/38392,서울,신입~9년,AI 개발자
에이블테라퓨틱스,인공지능 기획 및 개발자 채용,https://jumpit.saramin.co.kr/position/38402,서울,경력 2~15년,AI 개발자
알라딘커뮤니케이션,ai 엔지니어 개발자,https://jumpit.saramin.co.kr/position/38134,서울,경력 5~25년,AI 개발자
토페스,ai/딥러닝 개발자,https://jumpit.saramin.co.kr/position/37755,경기,경력 1~2년,AI 개발자
이노룰스,"[ai디지털플랫폼팀] 웹개발자(python, react, 경력 5년 이상) 경력직 채용",https://jumpit.saramin.co.kr/position/37744,서울,경력 5~15년,AI 개발자
아일리스프런티어,ai 서비스 - 자연어처리 (nlp) / python 엔진 개발 (추가 채용),https://jumpit.saramin.co.kr/position/37591,서울,경력 1~3년,AI 개발자
크레스콤,인공지능 소프트웨어 개발자 채용,https://jumpit.saramin.co.kr/position/37317,경기,경력 1~15년,AI 개발자
코넥티브,application sw 개발자,https://jumpit.saramin.co.kr/position/37288,서울,경력 3~12년,AI 개발자
(주)에이아이세스,ai-crm 개발자 (ai기반 crm 솔루션) 시니어급 채용,https://jumpit.saramin.co.kr/position/39434,경기,경력 5~8년,AI 개발자
(주)에이아이세스,ai-crm 개발자 (ai기반 crm 솔루션) 주니어급 채용,https://jumpit.saramin.co.kr/position/39433,경기,경력 2~5년,AI 개발자
알지티,window application 개발자 채용,https://jumpit.saramin.co.kr/position/39368,서울,경력 3~5년,AI 개발자
업스테이지,[전문연구요원 신규편입 & 전직] ai research engineer - document ai,https://jumpit.saramin.co.kr/position/39342,경기,신입~20년,AI 개발자
업스테이지,[전문연구요원 신규편입 & 전직] ai research engineer - llm,https://jumpit.saramin.co.kr/position/39341,경기,신입~20년,AI 개발자
WATA Inc.,java 백엔드 개발자[wata inc/판교],https://jumpit.saramin.co.kr/position/38832,경기,경력 5~16년,AI 개발자
업스테이지,ai research engineer - document ai,https://jumpit.saramin.co.kr/position/39336,경기,신입~20년,AI 개발자
업스테이지,ai research engineer - llm,https://jumpit.saramin.co.kr/position/39333,경기,신입~20년,AI 개발자
업스테이지,ai solution manager,https://jumpit.saramin.co.kr/position/39317,경기,경력 5~20년,AI 개발자
엠로,java개발자 (cloud native) (경력 5년~10년),https://jumpit.saramin.co.kr/position/39205,서울,경력 5~10년,AI 개발자
엠로,java개발자 (cloud native) (경력 3년~5년),https://jumpit.saramin.co.kr/position/39189,서울,경력 3~7년,AI 개발자
엠로,ai솔루션 개발자,https://jumpit.saramin.co.kr/position/39159,서울,경력 3~10년,AI 개발자
(주)한맥아이피에스,ai/ml 엔지니어 (경력 6년 ~ 10년),https://jumpit.saramin.co.kr/position/39026,대구,경력 6~10년,AI 개발자
(주)한맥아이피에스,ai/ml 엔지니어 (경력 3년 ~ 5년),https://jumpit.saramin.co.kr/position/39011,대구,경력 3~5년,AI 개발자
버즈니,[커머스 ai ] ai 백엔드 엔지니어,https://jumpit.saramin.co.kr/position/39016,서울,경력 2~9년,AI 개발자
다큐브,"ai 엔지니어 (llm, nlp)",https://jumpit.saramin.co.kr/position/38933,서울,경력 5~15년,AI 개발자
WATA Inc.,iot 어플리케이션 개발자[wata inc/판교],https://jumpit.saramin.co.kr/position/38831,경기,신입~7년,AI 개발자
슈프리마,embedded linux 및 android bsp 개발자,https://jumpit.saramin.co.kr/position/38798,경기,경력 3~10년,AI 개발자
브이엔티지,sap bw(bi) 운영 및 개발자 (1년 이상),https://jumpit.saramin.co.kr/position/38656,서울,경력 1~5년,AI 개발자
피알에스이,[evryai] 백엔드 개발자 채용,https://jumpit.saramin.co.kr/position/38629,강원,경력 1~15년,AI 개발자
앤씨앤,[middleware2팀] embedded middleware 개발자 모집,https://jumpit.saramin.co.kr/position/38620,경기,경력 5~10년,AI 개발자
엑스페릭스,android sdk 개발자,https://jumpit.saramin.co.kr/position/38406,경기,경력 7~10년,AI 개발자
WATA Inc.,비전알고리즘 개발 연구원[판교 wata ai],https://jumpit.saramin.co.kr/position/38211,경기,경력 3~16년,AI 개발자
에이엠,전장 middleware sw 개발자,https://jumpit.saramin.co.kr/position/38207,경기,신입~15년,AI 개발자
에이엠,전장 firmware sw 개발자,https://jumpit.saramin.co.kr/position/38205,경기,신입~15년,AI 개발자
에프에스솔루션,컴퓨터 비전 딥러닝/머신러닝 개발자(adas/dms/영상인식) (신입),https://jumpit.saramin.co.kr/position/38159,경기,신입,AI 개발자
에프에스솔루션,컴퓨터 비전 딥러닝/머신러닝 개발자(adas/dms/영상인식) (3년이상),https://jumpit.saramin.co.kr/position/38160,경기,경력 3~9년,AI 개발자
에프에스솔루션,컴퓨터 비전 딥러닝/머신러닝 개발자(adas/dms/영상인식) (팀장급),https://jumpit.saramin.co.kr/position/38161,경기,경력 10~15년,AI 개발자
WATA Inc.,개발 계획 및 개발 진행 pm [wata ai inc/판교],https://jumpit.saramin.co.kr/position/38122,경기,경력 5~20년,AI 개발자
WATA Inc.,기술개발 총괄 및 리딩 [wata ai inc/판교],https://jumpit.saramin.co.kr/position/38120,경기,경력 8~20년,AI 개발자
시어스랩,ai 엔지니어,https://jumpit.saramin.co.kr/position/38010,서울,경력 3~10년,AI 개발자
베스텔라랩,app(react native) 개발자(전문연구요원가능),https://jumpit.saramin.co.kr/position/37940,대구,경력 2~10년,AI 개발자
비즈톡,카카오톡 상담톡 및 챗봇 서비스 개발자,https://jumpit.saramin.co.kr/position/37883,서울,경력 5~10년,챗봇 개발자
빗썸코리아,클라우드엔지니어 - aws 서비스 운영,https://jumpit.saramin.co.kr/position/39296,서울,경력 5~10년,클라우드 엔지니어
골든플래닛,클라우드 엔지니어(팀장급 채용),https://jumpit.saramin.co.kr/position/38133,서울,신입,클라우드 엔지니어
빗썸코리아,블록체인 클라우드 엔지니어 (시니어),https://jumpit.saramin.co.kr/position/37616,서울,경력 8~12년,클라우드 엔지니어
빗썸코리아,블록체인 클라우드 엔지니어 (주니어),https://jumpit.saramin.co.kr/position/37615,서울,경력 1~7년,클라우드 엔지니어
(주)미리비트,클라우드 개발자 (5~7년차),https://jumpit.saramin.co.kr/position/39357,서울,경력 3~5년,클라우드 엔지니어
(주)미리비트,클라우드 개발자 (3~5년차),https://jumpit.saramin.co.kr/position/39348,서울,경력 3~5년,클라우드 엔지니어
