company,title,url,loc,exp,job_name
(주)이노케어플러스,Front-End 개발자,https://jumpit.saramin.co.kr/position/37372,서울 서초구,경력 1~3년,데이터 분석
스왈라비,IOS 개발자,https://jumpit.saramin.co.kr/position/38830,서울 강남구,경력 2~9년,데이터 분석
픽소,안드로이드 엔지니어(주니어),https://jumpit.saramin.co.kr/position/38674,서울 마포구,경력 2~4년,데이터 분석
투비콘,"웹 개발자(ASP.NET, C#) 채용",https://jumpit.saramin.co.kr/position/37097,서울 중구,신입~5년,데이터 분석
메디플렉서스,의료 <span>데이터</span> 베이스 (DB) 구축 정규직 채용,https://jumpit.saramin.co.kr/position/37786,서울 마포구,경력 1~10년,데이터 분석
브이엔티지,SAP MM 운영 및 개발자,https://jumpit.saramin.co.kr/position/38660,서울 마포구,경력 3~10년,데이터 분석
브이엔티지,SAP ERP BC 모듈 운영 및 개발자 (4년 이상),https://jumpit.saramin.co.kr/position/38658,서울 마포구,경력 4~10년,데이터 분석
브이엔티지,SAP BW(BI) 운영 및 개발자 (1년 이상),https://jumpit.saramin.co.kr/position/38656,서울 마포구,경력 1~5년,데이터 분석
브이엔티지,SAP SD 운영 및 개발자,https://jumpit.saramin.co.kr/position/38659,서울 마포구,경력 1~10년,데이터 분석
클래스메소드코리아,AWS 인프라 관련 설계/구축 경력직,https://jumpit.saramin.co.kr/position/3877,서울 중구,경력 1~5년,데이터 분석
올라핀테크,[경력] 백엔드 개발자,https://jumpit.saramin.co.kr/position/38201,서울 강남구,경력 7~15년,데이터 분석
알테어엔지니어링,PollEx Product Manger UI & UX,https://jumpit.saramin.co.kr/position/37711,경기 성남시,경력 5~20년,데이터 분석
피알에스이,[EvryAI] 백엔드 개발자 채용,https://jumpit.saramin.co.kr/position/38629,강원 원주시,경력 1~15년,데이터 분석
피알에스이,[EvryAI] UX/UI 디자이너 채용,https://jumpit.saramin.co.kr/position/37697,강원 원주시,경력 2~10년,데이터 분석
알티엠,"PO (Product Owner, 제조업 이상탐지 분야)",https://jumpit.saramin.co.kr/position/38038,서울 강남구,경력 5~10년,데이터 분석
라파라드,SW 개발자 경력직 채용(경력 10년-15년),https://jumpit.saramin.co.kr/position/39510,서울 강남구,경력 10~15년,데이터 분석
라파라드,SW 개발자 경력직 채용(경력 5년-10년),https://jumpit.saramin.co.kr/position/39059,서울 강남구,경력 5~10년,데이터 분석
테크랩스,웹 퍼블리셔,https://jumpit.saramin.co.kr/position/39091,서울 강남구,경력 2~8년,데이터 분석
테크랩스,웹 개발자(PHP) (브랜드엑셀러레이팅사업부),https://jumpit.saramin.co.kr/position/37778,서울 강남구,경력 5~10년,데이터 분석
블루아이,모듈 연구개발 직원 모집,https://jumpit.saramin.co.kr/position/37368,경기 용인시,경력 5~10년,데이터 분석
한화비전,(키퍼) Back End Engineer,https://jumpit.saramin.co.kr/position/39504,경기 성남시,경력 5~12년,데이터 분석
한화비전,(키퍼) DevOps Engineer,https://jumpit.saramin.co.kr/position/39499,경기 성남시,경력 3~15년,데이터 분석
한화비전,(키퍼) Front End Engineer,https://jumpit.saramin.co.kr/position/39501,경기 성남시,경력 4~12년,데이터 분석
뮤즈라이브,Back-End Engineer (Python/Django),https://jumpit.saramin.co.kr/position/39168,서울 마포구,경력 2~5년,데이터 분석
페어스퀘어랩,Blockchain Engineer,https://jumpit.saramin.co.kr/position/38234,서울 서초구,경력 1~10년,데이터 분석
페어스퀘어랩,[병역특례 전문연구요원] 블록체인 엔지니어,https://jumpit.saramin.co.kr/position/38235,서울 서초구,신입~5년,데이터 분석
에스티씨랩,빅<span>데이터</span> 엔진 개발,https://jumpit.saramin.co.kr/position/38168,서울 강남구,경력 3~5년,데이터 분석
에스티씨랩,대용량 트래픽 제어 엔진 개발,https://jumpit.saramin.co.kr/position/37360,서울 강남구,경력 3~10년,데이터 분석
안티그래비티,서비스 기획자/프로덕트 책임자,https://jumpit.saramin.co.kr/position/37417,서울 강남구,경력 3~10년,데이터 분석
온테스트,C# 솔루션 개발 엔지니어(주임급),https://jumpit.saramin.co.kr/position/39289,경기 용인시,경력 2~3년,데이터 분석
온테스트,C# 솔루션 개발 엔지니어(대리급),https://jumpit.saramin.co.kr/position/39290,경기 용인시,경력 3~5년,데이터 분석
온테스트,C# 솔루션 개발 엔지니어(과장급),https://jumpit.saramin.co.kr/position/39291,경기 용인시,경력 5~10년,데이터 분석
