company,title,url,exp,edu,typ,loc,date,job_name
㈜파고네트웍스,2024년 하반기 - 파고네트웍스 채용 (네트워크 트래픽 분석가),https://www.jobkorea.co.kr/Recruit/GI_Read/45993140?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=37,신입·경력,학력무관,정규직,서울 용산구 외,D-45,데이터 분석가
㈜넥슨,[인텔리전스랩스] UX Researcher/UX 분석가 (게임 경험 분석),https://www.jobkorea.co.kr/Recruit/GI_Read/45794189?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=38,경력무관,학력무관,정규직,경기 성남시,상시채용,데이터 분석가
㈜아이넥스코퍼레이션,의료 영상분야 신입 AI개발자 채용(삼성동 근무),https://www.jobkorea.co.kr/Recruit/GI_Read/46054734?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=39,경력무관,대졸↑,정규직,서울 강남구,D-24,데이터 분석가
펜타시스템테크놀러지㈜,Blue Analytics 데이터 분야 솔루션 및 SI 영업직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45953549?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=40,경력3년↑,대졸↑,정규직,서울 영등포구,D-38,데이터 분석가
㈜넥슨,[인텔리전스랩스] 매칭팀 프론트엔드 개발자,https://www.jobkorea.co.kr/Recruit/GI_Read/46007547?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=41,경력,학력무관,정규직,경기 성남시,상시채용,데이터 분석가
㈜넥슨,[퍼블리싱라이브본부] MMORPG 사업 PM,https://www.jobkorea.co.kr/Recruit/GI_Read/45894331?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=42,경력무관,학력무관,정규직,경기 성남시,상시채용,데이터 분석가
㈜비상교육,서비스기획,https://www.jobkorea.co.kr/Recruit/GI_Read/45775014?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=43,경력7년↑,대졸↑,정규직,경기 과천시,D-9,데이터 분석가
㈜이스트소프트,[ESTsoft] 그로스 분석가 (Product Growth Analyst),https://www.jobkorea.co.kr/Recruit/GI_Read/46042089?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=44,경력5년↑,학력무관,정규직,서울 서초구,상시채용,데이터 분석가
현대오토에버㈜,차량SW · ICT · 경영지원 부문 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45629022?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=45,경력,학력무관,정규직 외,서울 강남구 외,상시채용,데이터 분석가
㈜비바리퍼블리카,ML Engineer(Product),https://www.jobkorea.co.kr/Recruit/GI_Read/45755792?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=46,경력무관,학력무관,정규직,서울 강남구,D-2,데이터 분석가
㈜씨에스리더  ,"[정규직] 지하철&버스바로앞,18시칼퇴,평생직장 - 요금전문",https://www.jobkorea.co.kr/Recruit/GI_Read/46064565?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=47,신입·경력,고졸↑,정규직,대전 중구 외,D-25,데이터 분석가
㈜씨에스리더  ,"[정규직] 지하철&버스바로앞,18시칼퇴,평생직장 - 마케팅미진행",https://www.jobkorea.co.kr/Recruit/GI_Read/46064549?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=48,신입·경력,고졸↑,정규직,대전 중구 외,D-25,데이터 분석가
컬럼비아스포츠웨어코리아 유한회사,물류센터 분석가(Distribution Center Analyst) 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46032726?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=49,경력6년↑,대졸↑,정규직,서울 성동구 외,D-21,데이터 분석가
㈜카카오페이,데이터 엔지니어 - 데이터플랫폼팀,https://www.jobkorea.co.kr/Recruit/GI_Read/46016288?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=50,경력5년↑,학력무관,정규직,경기 성남시,D-17,데이터 분석가
㈜카카오페이,[계약직] 데이터 엔지니어 - 분석 MART / BI 담당자,https://www.jobkorea.co.kr/Recruit/GI_Read/46016291?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=51,경력4년↑,학력무관,정규직 외,경기 성남시,D-17,데이터 분석가
㈜트릿지,Product Manager (5년 이상),https://www.jobkorea.co.kr/Recruit/GI_Read/45988886?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=52,경력5년↑,학력무관,정규직,서울 서초구,D-22,데이터 분석가
메가존소프트,"Google Cloud(Engineer,Sales) 채용",https://www.jobkorea.co.kr/Recruit/GI_Read/45877540?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=53,경력3년↑,학력무관,정규직,경기 과천시,상시채용,데이터 분석가
㈜더캐리,2024년 (주)더캐리 IT인력 (정보혁신부) 공개채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45989048?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=54,신입·경력,대졸↑,정규직,서울 강남구,D-20,데이터 분석가
㈜트릿지,[TRIDGE] Lead of PM (PM 총괄),https://www.jobkorea.co.kr/Recruit/GI_Read/45929340?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=55,경력8년↑,학력무관,정규직,서울 서초구,D-21,데이터 분석가
㈜피트릭스,[현대자동차 사내벤처 피트릭스] 백엔드 개발자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46075973?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=56,경력5년↑,대졸↑,정규직,서울 강남구,D-28,데이터 분석가
뉴튠,경영지원 매니저 (연구비/사업비 총괄 담당),https://www.jobkorea.co.kr/Recruit/GI_Read/46086225?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=57,경력1년↑,초대졸↑,정규직,서울 강남구 외,D-9,데이터 분석가
㈜고픽커뮤니케이션,[고픽커뮤니케이션] 스포츠 데이터 사이언티스트,https://www.jobkorea.co.kr/Recruit/GI_Read/46006943?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=58,경력5년↑,학력무관,정규직 외,서울 성동구,D-18,데이터 분석가
주식회사 더 스윙,데이터 애널리틱 엔지니어,https://www.jobkorea.co.kr/Recruit/GI_Read/45953764?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=59,경력3년↑,학력무관,정규직,서울 용산구 외,D-6,데이터 분석가
핑퐁㈜,앱 백엔드 개발자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46014959?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=60,경력3년↑,대졸↑,정규직,서울 종로구,D-17,데이터 분석가
