company,title,url,exp,edu,typ,loc,job_name
이노뎁㈜,"si 프로젝트 데이터 분석,설계 경력 채용 (계약직)",https://www.jobkorea.co.kr/Recruit/GI_Read/46015025?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D&listno=20,경력5년↑,대졸↑,계약직,서울,데이터 분석
㈜뉴엔에이아이,[신입 / 경력] 소셜 빅데이터 분석 컨설턴트(데이터 사이언티스트) 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46001387?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D&listno=21,신입·경력3년↑,초대졸↑,정규직 외,경기,데이터 분석
㈜포이시스,[본사] dashboard 구현을 위한 tableau 시각화 & 데이터 분석 경력직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46021881?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D&listno=23,경력무관,대졸↑,정규직,서울,데이터 분석
메디치이앤에스㈜,[빅데이터] 파이썬 데이터 분석 강사 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45872408?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D&listno=28,경력,대졸↑,계약직 외,서울,데이터 분석
빔모빌리티코리아㈜,[빔모빌리티코리아] 전략/데이터 분석 운영담당,https://www.jobkorea.co.kr/Recruit/GI_Read/45976524?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D&listno=29,경력2년↑,대졸↑,정규직,서울,데이터 분석
㈜테크랩스,[테크랩스]마케팅 데이터 분석 (브랜드엑셀러레이팅사업부),https://www.jobkorea.co.kr/Recruit/GI_Read/45937046?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D&listno=30,경력2년↑,대졸↑,정규직,서울,데이터 분석
㈜모비릭스,[모비릭스] 게임data팀 데이터 분석 경력직 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/46005707?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D&listno=31,경력1년↑,학력무관,정규직 외,서울,데이터 분석
메디에이지,[헬스케어] 보건의료통계 및 데이터 분석 전문가 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45921749?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D&listno=32,경력3년↑,대졸↑,정규직 외,경기,데이터 분석
인튜브,빅데이터 분석 및 알고리즘 모델링 사원(신입/경력) 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45687100?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D&listno=33,신입·경력,학력무관,정규직,서울,데이터 분석
㈜네피리티,[서울] 데이터 분석 및 ai모델 개발 정규직/계약직 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45911857?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D&listno=34,신입·경력3년↑,학력무관,정규직 외,서울,데이터 분석
안진회계법인,[딜로이트 안진회계법인] 경영자문부문 금융기관 데이터 분석 전문가,https://www.jobkorea.co.kr/Recruit/GI_Read/45922645?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D&listno=35,경력5년↑,대졸↑,정규직,서울,데이터 분석
㈜일루넥스,"2024년 경력 인공지능, 빅데이터 분석 채용",https://www.jobkorea.co.kr/Recruit/GI_Read/45894712?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D&listno=36,경력무관,대졸↑,정규직,경기,데이터 분석
메디치이앤에스㈜,"[빅데이터] 파이썬 데이터 분석 , 컴퓨터 비전 , ai 강사님 채용합니다",https://www.jobkorea.co.kr/Recruit/GI_Read/45824382?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D&listno=37,경력,대졸↑,계약직 외,서울,데이터 분석
주식회사 맨파워코리아,[광화문역] 글로벌 it기업 map 데이터 분석 및 업데이트 채용 (재택 병행),https://www.jobkorea.co.kr/Recruit/GI_Read/46009580?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D&listno=38,경력무관,초대졸↑,계약직 외,서울,데이터 분석
마크클라우드,"ai 개발(python), 데이터 분석 및 사업 기획 신규/경력 모집 - 정규직",https://www.jobkorea.co.kr/Recruit/GI_Read/45968108?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D&listno=39,신입·경력,대졸↑,정규직,서울,데이터 분석
한국타이어앤테크놀로지,[상시채용] r&d - 데이터 수집 및 분석,https://www.jobkorea.co.kr/Recruit/GI_Read/45919412?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D&listno=40,신입·경력,석사↑,정규직,대전,데이터 분석
㈜에이브랩스,데이터 분석 (data scientist) 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46057474?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D&listno=41,신입·경력,학력무관,정규직 외,서울,데이터 분석
㈜파오스파트너스,"(주)파오스파트너스 공채 채용-btl마케팅 운영 및 실행 업무, db 분석, db마케팅",https://www.jobkorea.co.kr/Recruit/GI_Read/45887961?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D&listno=44,신입·경력,초대졸↑,정규직,서울,데이터 분석
CJ 4DPLEX,[cj그룹 계열사] cj 4dplex 콘텐츠사업팀 데이터 분석 및 콘텐츠 실적 관리 경력직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45974220?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D&listno=45,경력3년↑,학력무관,정규직,서울,데이터 분석
㈜에스티유니타스,[st unitas] 공무원 상품기획 & 데이터 분석 포지션 팀원급 인재채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45713996?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D&listno=46,신입,대졸↑,정규직,서울,데이터 분석
㈜해양정보기술,해양빅데이터 분석 및 해양수치모델링 부문 정규직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45913695?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D&listno=47,경력무관,대졸↑,정규직,서울,데이터 분석
㈜파오스파트너스,"시장 분석(리서치) 전문가 - 시장 분석, 기업 분석, 데이터 시각화, 보고서 작성",https://www.jobkorea.co.kr/Recruit/GI_Read/45988390?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D&listno=48,경력,대졸↑,정규직,서울,데이터 분석
씽킹데이터코리아㈜(THINK,thinkingdata 글로벌 게임 데이터 분석 솔루션 - 애널리스트 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46006047?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D&listno=49,경력3년↑,대졸↑,정규직 외,서울,데이터 분석
씨앤토트㈜,"빅데이터 분석 시스템 모델러, 데이터 아키텍트 (da) 모집 (경력)",https://www.jobkorea.co.kr/Recruit/GI_Read/46003102?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D&listno=56,경력5년↑,고졸↑,정규직,서울,데이터 분석
현대엘리베이터,데이터 엔지니어 경력 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46043051?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=2,경력,대졸↑,정규직,서울,데이터 엔지니어
㈜이노케어플러스,데이터 엔지니어,https://www.jobkorea.co.kr/Recruit/GI_Read/46046957?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=3,경력3년↑,학력무관,정규직,서울,데이터 엔지니어
