회사,제목,URL,경력,계약형태,지역,지역(구),직무
씨트러스(주),대기업 게임사 데이터센터 인프라 운영 엔지니어(야간 근무),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49506547&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=0a893b53-0d67-42f2-866f-110cff1fcd6e,경력무관,정규직,경기,성남시 분당구,데이터 엔지니어
(주)디리아,데이터분석 및 데이터엔지니어 채용(신입/경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49534324&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=0a893b53-0d67-42f2-866f-110cff1fcd6e,경력무관,정규직,서울,서초구,데이터 엔지니어
(주)휴톰,[휴톰/의료기기 소프트웨어] 데이터 / ml 엔지니어(3년~),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49330744&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=0a893b53-0d67-42f2-866f-110cff1fcd6e,경력 3~7년,정규직,서울,마포구,데이터 엔지니어
(주)스카우트,데이터 엔지니어 [글로벌 디지털 기업],https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49549968&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=0a893b53-0d67-42f2-866f-110cff1fcd6e,경력 5~7년,정규직,서울,강남구,데이터 엔지니어
(주)바로팜,데이터 엔지니어 경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49464713&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=0a893b53-0d67-42f2-866f-110cff1fcd6e,경력 5~12년,정규직,서울,강남구,데이터 엔지니어
괴산스마트유기농사업단,"[데이터 엔지니어] 노지 스마트 농업 데이터 수집, 분석가 모집",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49468043&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=0a893b53-0d67-42f2-866f-110cff1fcd6e,경력무관,정규직·계약직,충북,괴산군,데이터 엔지니어
(주)사람인,[사람인] 데이터 엔지니어 (전환형인턴),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49521591&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=0a893b53-0d67-42f2-866f-110cff1fcd6e,신입·경력,정규직,서울전체,,데이터 엔지니어
마이데이터(주),빅데이터플랫폼 운영 엔지니어 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49388624&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=0a893b53-0d67-42f2-866f-110cff1fcd6e,경력3년↑,정규직·프리랜서,서울,서초구,데이터 엔지니어
윈스로드(주),데이터 보호 (x86/가상화/클라우드) 신입/경력 엔지니어 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49543066&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=0a893b53-0d67-42f2-866f-110cff1fcd6e,경력,정규직,경기,성남시 분당구,데이터 엔지니어
(주)스카우트,데이터 플랫폼 엔지니어 [글로벌 디지털 기업],https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49550152&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=0a893b53-0d67-42f2-866f-110cff1fcd6e,경력 5~7년,정규직,서울,강남구,데이터 엔지니어
(주)모비젠,(주) 모비젠 데이터 엔지니어 경력직 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49537223&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=0a893b53-0d67-42f2-866f-110cff1fcd6e,경력5년↑,정규직,경기,성남시 수정구,데이터 엔지니어
에퀴닉스코리아(유),데이터센터 전기 설비 선임 엔지니어 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49340921&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=0a893b53-0d67-42f2-866f-110cff1fcd6e,경력7년↑,정규직,경기,고양시 덕양구,데이터 엔지니어
(주)엘리스,데이터 엔지니어,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49273599&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=0a893b53-0d67-42f2-866f-110cff1fcd6e,경력3년↑,계약직,서울,강남구,데이터 엔지니어
(주)오픈베이스,데이터 엔지니어 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49525808&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=0a893b53-0d67-42f2-866f-110cff1fcd6e,경력 3~10년,정규직,서울,서초구,데이터 엔지니어
잇솔루션(주),[데이터 엔지니어] etl/pipeline & mart (oracle exadata),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49517859&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=0a893b53-0d67-42f2-866f-110cff1fcd6e,경력3년↑,정규직,서울,강남구,데이터 엔지니어
(주)사람인에이치에스,[정규직/외국계/성과급] 데이터엔지니어 경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49507816&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=0a893b53-0d67-42f2-866f-110cff1fcd6e,경력5년↑,정규직,서울,강남구,데이터 엔지니어
호전실업(주),"데이터 분석, ai엔지니어 채용 (8~10년)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49528486&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=0a893b53-0d67-42f2-866f-110cff1fcd6e,경력 8~10년,정규직,서울,마포구,데이터 엔지니어
호전실업(주),"데이터 분석, ai엔지니어 채용 (4~7년)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49528482&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=49956dc3-01cc-4276-97b0-b40cc96a6a65,경력 4~7년,정규직,서울,마포구,데이터 엔지니어
(주)기어세컨드,[기어세컨드] 데이터 엔지니어(de) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49444785&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=49956dc3-01cc-4276-97b0-b40cc96a6a65,경력3년↑,정규직,서울,마포구,데이터 엔지니어
카페24(주),[데이터그룹] 데이터 엔지니어 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49326429&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=49956dc3-01cc-4276-97b0-b40cc96a6a65,경력2년↑,정규직,서울,동작구,데이터 엔지니어
세림티에스지(주),[데이터센터사업부/대전] 시스템 엔지니어 및 유지관리 se 운영,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49462945&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=49956dc3-01cc-4276-97b0-b40cc96a6a65,경력 10~12년,정규직·기간제,대전,유성구,데이터 엔지니어
(주)사람인에이치에스,[정규직/외국계] 데이터플랫폼 엔지니어 경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49506920&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=49956dc3-01cc-4276-97b0-b40cc96a6a65,경력5년↑,정규직,서울,강남구,데이터 엔지니어
(주)나비프라,[나비프라]멀티로봇 경로계획/작업스케쥴링/데이터분석 엔지니어,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49480878&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=49956dc3-01cc-4276-97b0-b40cc96a6a65,경력무관,계약직,서울,서초구,데이터 엔지니어
쓰리알이노베이션(주),[경력 3년] 데이터 엔지니어,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49513714&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=49956dc3-01cc-4276-97b0-b40cc96a6a65,경력 3~10년,정규직·기간제,서울,서초구,데이터 엔지니어
(주)미리디,[미리디] 데이터 엔지니어,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49314425&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=49956dc3-01cc-4276-97b0-b40cc96a6a65,경력 5~15년,정규직,서울,구로구,데이터 엔지니어
주식회사코세틱,[cosetic] 데이터 엔지니어 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49257307&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=49956dc3-01cc-4276-97b0-b40cc96a6a65,경력무관,정규직,서울,중구,데이터 엔지니어
제이앤피에이치알컨설팅,[global company] 데이터 엔지니어 (대리-과장급),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49519432&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=49956dc3-01cc-4276-97b0-b40cc96a6a65,경력5년↑,정규직,서울,강남구,데이터 엔지니어
제이앤피에이치알컨설팅,[global company] 데이터 플랫폼 엔지니어 (대리-과장급),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49519285&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=49956dc3-01cc-4276-97b0-b40cc96a6a65,경력5년↑,정규직,서울,강남구,데이터 엔지니어
콘센트릭스서비스코리아(유),데이터 플랫폼 엔지니어,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49280925&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=49956dc3-01cc-4276-97b0-b40cc96a6a65,경력 3~10년,정규직,서울,강남구,데이터 엔지니어
콘센트릭스서비스코리아(유),데이터 엔지니어,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49297917&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=49956dc3-01cc-4276-97b0-b40cc96a6a65,경력 6~7년,정규직,서울,강남구,데이터 엔지니어
(주)이노케어플러스,데이터 엔지니어,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49198392&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=49956dc3-01cc-4276-97b0-b40cc96a6a65,경력 3~10년,정규직,서울,서초구,데이터 엔지니어
(주)스텝씨,[헤드헌팅]데이터 엔지니어,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49508851&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=49956dc3-01cc-4276-97b0-b40cc96a6a65,경력 4~10년,정규직,서울,영등포구,데이터 엔지니어
프로페셔날핸즈인핸즈코리아(주),데이터 엔지니어 [과장급],https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49497340&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=49956dc3-01cc-4276-97b0-b40cc96a6a65,경력 5~9년,정규직,서울,강남구,데이터 엔지니어
워크맨그룹 주식회사,데이터사이언티스트/ai 엔지니어 [국내 대기업],https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49482413&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=49956dc3-01cc-4276-97b0-b40cc96a6a65,경력 7~15년,정규직,서울,강서구,데이터 엔지니어
(주)엔미디어플랫폼,데이터엔지니어 인재모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49488131&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=49956dc3-01cc-4276-97b0-b40cc96a6a65,경력 5~12년,정규직,서울전체,,데이터 엔지니어
(주)워트인텔리전스,데이터 엔지니어 (3년 이상),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49432811&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=49956dc3-01cc-4276-97b0-b40cc96a6a65,경력 3~5년,정규직,서울,서초구,데이터 엔지니어
(주)워트인텔리전스,데이터 엔지니어 (8년 이상),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49432815&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=49956dc3-01cc-4276-97b0-b40cc96a6a65,경력 8~12년,정규직,서울,서초구,데이터 엔지니어
(주)백패커,[아이디어스] 데이터 엔지니어 (data engineer),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49444188&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=49956dc3-01cc-4276-97b0-b40cc96a6a65,경력 3~7년,정규직,서울,서초구,데이터 엔지니어
(주)레진엔터테인먼트,데이터 엔지니어 (경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49467605&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=49956dc3-01cc-4276-97b0-b40cc96a6a65,경력 5~10년,정규직,서울,성동구,데이터 엔지니어
프로페셔날핸즈인핸즈코리아(주),데이터플랫폼 엔지니어,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49497306&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=49956dc3-01cc-4276-97b0-b40cc96a6a65,경력 5~10년,정규직,서울,강남구,데이터 엔지니어
(주)이이씨에스,[기술엔지니어] idc 데이터센터 자동제어 및 cx 엔지니어 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49535919&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=49956dc3-01cc-4276-97b0-b40cc96a6a65,경력무관,정규직,부산,강서구,데이터 엔지니어
(주)마인드에이아이,data engineer,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49530850&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=49956dc3-01cc-4276-97b0-b40cc96a6a65,신입·경력,정규직,서울,강서구,데이터 엔지니어
(주)데이터다이나믹스,정규 python/data engineer (신입/경력) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49461161&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=49956dc3-01cc-4276-97b0-b40cc96a6a65,신입·경력,정규직,경기,용인시 수지구,데이터 엔지니어
(주)두들린,[그리팅] data engineer - 3년 이상,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49358722&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=49956dc3-01cc-4276-97b0-b40cc96a6a65,경력3년↑,정규직,서울,강남구,데이터 엔지니어
(주)트릿지,data engineer (산업기능요원),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49364127&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=49956dc3-01cc-4276-97b0-b40cc96a6a65,경력무관,기간제·계약직,서울,서초구,데이터 엔지니어
(주)크레버스,data engineer(경력5년) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49391729&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=49956dc3-01cc-4276-97b0-b40cc96a6a65,경력 5~8년,정규직,서울,강남구,데이터 엔지니어
(주)에이치알글로벌네트워크,da[중소/시리즈b투자/데이터/강남]ta 3. data engineer,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49511776&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=49956dc3-01cc-4276-97b0-b40cc96a6a65,경력 2~10년,정규직,서울,강남구,데이터 엔지니어
코리아써치,data analytics engineer(sql),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49512992&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=49956dc3-01cc-4276-97b0-b40cc96a6a65,경력2년↑,정규직,서울,강남구,데이터 엔지니어
(주)인코리아 프로페셔널(In Korea Professional),[ai 스타트업] data engineer(2-8년차),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49524242&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=49956dc3-01cc-4276-97b0-b40cc96a6a65,경력 2~8년,정규직,서울,중구,데이터 엔지니어
엔터웨이파트너스,data engineer-대기업금융사,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49488499&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=49956dc3-01cc-4276-97b0-b40cc96a6a65,경력,정규직,서울,강남구,데이터 엔지니어
(주)딥인사이트,data engineer,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49394857&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=49956dc3-01cc-4276-97b0-b40cc96a6a65,신입·경력,정규직,경기전체,,데이터 엔지니어
(주)커리어앤스카우트,"국내 대기업 - ai (data scientist, data engineer) 경력직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49465948&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=49956dc3-01cc-4276-97b0-b40cc96a6a65,경력 5~10년,정규직,서울,강동구,데이터 엔지니어
한국딥러닝(주),ai 엔지니어(데이터),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49502205&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=49956dc3-01cc-4276-97b0-b40cc96a6a65,경력 3~15년,정규직,서울,서초구,데이터 엔지니어
(주)엑심베이,data engineer,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49525229&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=49956dc3-01cc-4276-97b0-b40cc96a6a65,신입·경력,정규직,서울전체,,데이터 엔지니어
(주)에이치알글로벌네트워크,da[중소/시리즈b투자/데이터/강남]ta 1. data analysis engineer,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49511732&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=49956dc3-01cc-4276-97b0-b40cc96a6a65,경력 2~10년,정규직,서울,강남구,데이터 엔지니어
(주) 원프레딕트,data platform engineer(전문연구요원),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49420075&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=1bd953cf-052e-4d39-9c76-b21a5ed940c7,경력무관,정규직,서울,강남구,데이터 엔지니어
(주)반프,r&d / data engineer,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49355840&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=1bd953cf-052e-4d39-9c76-b21a5ed940c7,경력무관,정규직,서울,강남구,데이터 엔지니어
(주)비바리퍼블리카,[토스페이먼츠] data engineer,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49497696&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=1bd953cf-052e-4d39-9c76-b21a5ed940c7,경력,정규직,서울,강남구,데이터 엔지니어
(주)스카우트플랜,data engineer(대용량 및 실시간 데이터 분산 처리에 대한 개발),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49544792&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=1bd953cf-052e-4d39-9c76-b21a5ed940c7,경력 4~10년,정규직,서울,강남구,데이터 엔지니어
코리아써치,data engineer(대용량 및 실시간 데이터 분산 처리),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49512981&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=1bd953cf-052e-4d39-9c76-b21a5ed940c7,경력4년↑,정규직,서울,강남구,데이터 엔지니어
(주)업스테이지,senior data engineer - llm,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49535433&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=1bd953cf-052e-4d39-9c76-b21a5ed940c7,경력 7~15년,정규직,경기전체,,데이터 엔지니어
네이버웹툰(유),[네이버웹툰] data engineer (경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49449779&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=1bd953cf-052e-4d39-9c76-b21a5ed940c7,경력3년↑,정규직,경기,성남시 분당구,데이터 엔지니어
(주)이이씨에스,[기술엔지니어] idc 데이터센터 커미셔닝 신입/경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49339309&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=1bd953cf-052e-4d39-9c76-b21a5ed940c7,경력무관,정규직,인천,서구,데이터 엔지니어
메타빌드(주),메타빌드(주) ai 개발자 인재 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49377366&location=ts&searchword=AI+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=6a47b76c-6623-41ce-a4f9-f1cb4b6502aa,경력무관,정규직,서울,서초구,AI 개발자
